"","playerID","W","club.300","CG","SHO","SV","IPouts","SO","yrs.played","last.year","best.7.ERA","best.7.WHIP","best.7.ERA_Plus","best.7.FIP","best.7.H9","best.7.HR9","best.7.BB9","best.7.SO9","best.7.SO_per_BB","Prime_years","best.7.Role","nameFirst","nameLast","HOF.Player","pred.prob","HOF.Score"
"1226","shirlbo01",67,"no",16,2,18,4296,790,11,1987,3.47,1.35,113,3.79,8.8,0.8,3.4,5.3,1.54,1981,"Reliever","Bob","Shirley","FALSE",3.1792911773646e-06,0
"1227","shockur01",187,"no",200,28,25,8045,983,13,1928,3.09,1.26,128,3.6,9.3,0.5,2,3.1,1.6,1923,"Starter","Urban","Shocker","FALSE",0.109004940676262,10.9
"1228","shoffmi01",25,"no",22,2,3,1731,180,7,1940,4.59,1.49,108,4.37,9.9,0.5,3.1,2.9,0.95,1935,"Reliever","Milt","Shoffner","FALSE",6.6133099019004e-06,0
"1229","shortch02",135,"no",88,24,18,6975,1629,15,1973,2.89,1.19,121,2.96,8,0.6,2.7,6.7,2.49,1965,"Starter","Chris","Short","FALSE",0.000230504751200613,0
"1230","shouncl01",73,"no",34,3,29,3861,483,14,1949,3.46,1.25,113,3.51,8.7,0.5,2.4,3.3,1.38,1942,"Reliever","Clyde","Shoun","FALSE",2.70707713390458e-05,0
"1231","shower01",101,"no",35,11,7,4965,971,11,1991,3.38,1.25,118,4.09,8,0.9,3.3,5.3,1.63,1985,"Starter","Eric","Show","FALSE",6.39146462401047e-05,0
"1232","shueypa01",45,"no",0,0,23,1590,556,11,2007,3.16,1.31,144,3.49,7.4,0.7,4.3,9.6,2.23,2000,"Reliever","Paul","Shuey","FALSE",1.33002008739061e-06,0
"1233","siebeso01",140,"no",67,21,16,6456,1512,12,1975,2.89,1.12,122,3.22,7.4,0.8,2.6,6.5,2.46,1967,"Starter","Sonny","Siebert","FALSE",0.0012004644305311,0.1
"1234","sieveed01",83,"no",136,14,2,4521,470,7,1908,2.6,1.23,115,2.82,9.3,0.2,1.9,2.8,1.53,1904,"Starter","Ed","Siever","FALSE",5.12173866993151e-05,0
"1235","silvaca01",70,"no",6,2,2,3725,554,9,2010,4.3,1.36,105,4.43,10.7,1.1,1.5,3.9,2.57,2005,"Starter","Carlos","Silva","FALSE",3.68339070009174e-06,0
"1236","simmocu01",193,"no",163,36,5,10045,1697,20,1967,2.98,1.24,132,3.29,8.2,0.6,3,5.1,1.71,1956,"Starter","Curt","Simmons","FALSE",0.0200319691666711,2
"1237","singebi01",118,"no",94,24,2,6522,1515,14,1977,2.96,1.21,121,2.82,7.8,0.5,3,6.7,2.25,1971,"Starter","Bill","Singer","FALSE",9.4275913880431e-05,0
"1238","siskto01",40,"no",19,4,10,2785,441,9,1970,3.75,1.35,94,3.55,8.8,0.5,3.4,4.1,1.23,1967,"Reliever","Tommie","Sisk","FALSE",4.91956107067288e-06,0
"1239","sisleda01",38,"no",12,1,29,1969,355,7,1962,4.34,1.51,94,4.54,8.7,1,4.9,4.9,1,1959,"Reliever","Dave","Sisler","FALSE",3.17739054896867e-05,0
"1240","slatoji01",151,"no",86,22,14,8051,1191,16,1986,3.64,1.35,103,3.98,9,0.8,3.2,4.2,1.33,1976,"Starter","Jim","Slaton","FALSE",0.000345299143589511,0
"1241","slocuhe01",28,"no",0,0,98,1893,513,10,2000,3.52,1.49,132,3.85,8.5,0.4,4.8,7.5,1.56,1995,"Reliever","Heathcliff","Slocumb","FALSE",1.508304187666e-06,0
